iter	Passed	Remaining
413	3002	11503
414	3010	11497
415	3015	11481
416	3023	11477
417	3031	11473
418	3039	11468
419	3046	11459
420	3053	11451
421	3059	11442
422	3066	11433
423	3073	11424
424	3079	11411
425	3085	11402
426	3092	11392
427	3099	11383
428	3105	11373
429	3112	11364
430	3119	11355
431	3126	11346
432	3132	11336
433	3137	11320
434	3144	11311
435	3151	11304
436	3159	11300
437	3168	11298
438	3176	11293
439	3185	11295
440	3193	11290
441	3202	11287
442	3209	11281
443	3218	11279
444	3225	11272
445	3234	11269
446	3241	11263
447	3250	11261
448	3258	11254
449	3266	11252
450	3274	11246
451	3283	11244
452	3290	11238
453	3299	11236
454	3307	11230
455	3316	11228
456	3323	11222
457	3333	11221
458	3340	11215
459	3349	11213
460	3357	11207
461	3365	11204
462	3372	11195
463	3379	11187
464	3386	11178
465	3393	11170
466	3400	11161
467	3407	11152
468	3413	11143
469	3420	11134
470	3426	11124
471	3433	11115
472	3439	11105
473	3446	11096
474	3453	11086
475	3460	11077
476	3467	11069
477	3473	11060
478	3480	11051
479	3487	11042
480	3493	11033
481	3501	11026
482	3507	11017
483	3514	11008
484	3521	10999
485	3528	10991
486	3535	10982
487	3541	10972
488	3548	10963
489	3554	10954
490	3561	10945
491	3568	10936
492	3574	10927
493	3581	10917
494	3587	10908
495	3594	10900
496	3601	10890
497	3608	10882
498	3614	10873
499	3621	10864
500	3628	10855
501	3634	10845
502	3641	10836
503	3648	10828
504	3655	10820
505	3662	10813
506	3670	10808
507	3677	10801
508	3684	10792
509	3691	10783
510	3697	10774
511	3704	10765
512	3711	10757
513	3717	10747
514	3724	10738
515	3730	10729
516	3737	10720
517	3744	10711
518	3750	10701
519	3757	10693
520	3763	10684
521	3770	10675
522	3776	10666
523	3783	10657
524	3789	10647
525	3796	10638
526	3802	10629
527	3809	10620
528	3816	10611
529	3822	10602
530	3829	10593
531	3836	10587
532	3845	10583
533	3852	10575
534	3859	10567
535	3866	10560
536	3873	10552
537	3879	10543
538	3886	10534
539	3893	10525
540	3899	10516
541	3906	10507
542	3912	10498
543	3919	10490
544	3925	10481
545	3932	10471
546	3938	10462
547	3945	10454
548	3952	10445
549	3958	10436
550	3965	10427
551	3971	10418
552	3978	10409
553	3984	10400
554	3991	10392
555	3998	10383
556	4004	10374
557	4011	10365
558	4017	10357
559	4024	10348
560	4031	10340
561	4038	10332
562	4045	10324
563	4051	10316
564	4058	10307
565	4064	10298
566	4071	10288
567	4077	10280
568	4084	10271
569	4091	10263
570	4097	10255
571	4104	10247
572	4111	10238
573	4117	10230
574	4124	10221
575	4131	10212
576	4137	10204
577	4144	10195
578	4151	10187
579	4157	10178
580	4164	10170
581	4170	10161
582	4177	10153
583	4187	10152
584	4195	10148
585	4203	10143
586	4210	10135
587	4217	10127
588	4224	10120
589	4231	10112
590	4239	10106
591	4247	10101
592	4256	10098
593	4263	10092
594	4272	10088
595	4279	10082
596	4288	10078
597	4295	10071
598	4304	10067
599	4311	10061
600	4320	10057
601	4328	10051
602	4337	10047
603	4344	10041
604	4353	10038
605	4360	10031
606	4369	10026
607	4376	10020
608	4384	10014
609	4392	10008
610	4400	10003
611	4407	9996
612	4416	9992
613	4424	9987
614	4431	9980
615	4438	9972
616	4445	9965
617	4452	9957
618	4459	9949
619	4466	9941
620	4472	9932
621	4479	9923
622	4486	9915
623	4492	9906
624	4499	9898
625	4506	9890
626	4512	9881
627	4519	9873
628	4525	9865
629	4532	9856
630	4539	9848
631	4545	9839
632	4552	9831
633	4559	9823
634	4565	9814
635	4572	9806
636	4579	9799
637	4586	9790
638	4592	9782
639	4600	9776
640	4607	9769
641	4615	9763
642	4623	9758
643	4631	9751
644	4639	9746
645	4646	9738
646	4655	9735
647	4662	9728
648	4672	9726
649	4679	9718
650	4688	9715
651	4697	9711
652	4704	9704
653	4713	9700
654	4720	9693
655	4728	9688
656	4736	9682
657	4744	9677
658	4752	9671
659	4760	9665
660	4769	9660
661	4777	9655
662	4785	9649
663	4793	9643
664	4801	9638
665	4808	9630
666	4816	9626
667	4824	9619
668	4832	9615
669	4839	9607
670	4848	9603
671	4855	9595
672	4864	9591
673	4871	9583
674	4880	9579
675	4887	9572
676	4896	9568
677	4904	9562
678	4913	9558
679	4920	9551
680	4929	9547
681	4936	9540
682	4945	9535
683	4952	9528
684	4960	9522
685	4968	9516
686	4976	9511
687	4984	9504
688	4992	9499
689	4999	9492
690	5008	9487
691	5015	9481
692	5023	9474
693	5031	9468
694	5038	9460
695	5045	9453
696	5052	9444
697	5058	9436
698	5065	9428
699	5072	9420
700	5079	9412
701	5085	9403
702	5092	9395
703	5099	9387
704	5105	9378
705	5112	9370
706	5118	9361
707	5125	9353
708	5132	9344
709	5138	9336
710	5145	9328
711	5151	9319
712	5158	9311
713	5164	9302
714	5174	9300
715	5181	9292
716	5190	9288
717	5197	9280
718	5204	9272
719	5211	9264
720	5217	9256
721	5224	9247
722	5231	9239
723	5238	9232
724	5245	9225
725	5253	9218
726	5260	9210
727	5266	9202
728	5273	9194
729	5280	9186
730	5287	9178
731	5294	9170
732	5300	9162
733	5307	9154
734	5313	9145
735	5320	9137
736	5327	9129
737	5334	9121
738	5340	9113
739	5347	9105
740	5354	9097
741	5360	9088
742	5367	9080
743	5374	9072
744	5380	9064
745	5387	9055
746	5393	9047
747	5400	9039
748	5407	9031
749	5413	9023
750	5420	9015
751	5427	9006
752	5434	8999
753	5440	8991
754	5447	8983
755	5454	8975
756	5460	8966
757	5467	8958
758	5473	8950
759	5480	8942
760	5487	8933
761	5494	8926
762	5500	8917
763	5507	8909
764	5513	8901
765	5520	8893
766	5526	8884
767	5533	8876
768	5540	8868
769	5546	8860
770	5553	8851
771	5559	8843
772	5566	8835
773	5572	8827
774	5579	8818
775	5585	8810
776	5592	8802
777	5598	8794
778	5605	8785
779	5611	8777
780	5618	8769
781	5624	8760
782	5631	8752
783	5637	8744
784	5644	8736
785	5650	8727
786	5657	8719
787	5664	8711
788	5670	8703
789	5676	8695
790	5683	8686
791	5690	8678
792	5696	8670
793	5703	8662
794	5709	8654
795	5716	8646
796	5723	8638
797	5729	8630
798	5736	8622
799	5742	8613
800	5749	8605
801	5756	8598
802	5764	8593
803	5772	8586
804	5778	8578
805	5786	8572
806	5793	8564
807	5800	8557
808	5807	8549
809	5814	8542
810	5821	8534
811	5827	8526
812	5834	8518
813	5841	8510
814	5849	8504
815	5855	8496
816	5862	8489
817	5869	8482
818	5876	8474
819	5883	8466
820	5890	8459
821	5897	8452
822	5904	8444
823	5911	8436
824	5918	8429
825	5925	8421
826	5932	8414
827	5939	8406
828	5946	8399
829	5953	8391
830	5959	8383
831	5966	8376
832	5973	8368
833	5980	8361
834	5987	8353
835	5994	8346
836	6002	8339
837	6008	8332
838	6015	8324
839	6022	8317
840	6030	8310
841	6037	8302
842	6044	8295
843	6050	8287
844	6057	8280
845	6064	8273
846	6071	8265
847	6078	8258
848	6085	8250
849	6092	8242
850	6099	8235
851	6106	8227
852	6113	8220
853	6120	8212
854	6127	8205
855	6134	8197
856	6140	8190
857	6147	8182
858	6155	8176
859	6164	8170
860	6170	8163
861	6178	8157
862	6186	8150
863	6193	8143
864	6200	8135
865	6207	8127
866	6213	8120
867	6220	8112
868	6227	8105
869	6234	8097
870	6241	8090
871	6248	8082
872	6255	8075
873	6262	8067
874	6269	8060
875	6276	8052
876	6283	8045
877	6290	8038
878	6297	8031
879	6305	8024
880	6312	8017
881	6319	8009
882	6326	8003
883	6334	7996
884	6342	7990
885	6350	7984
886	6357	7977
887	6365	7971
888	6374	7966
889	6382	7959
890	6389	7953
891	6397	7946
892	6404	7939
893	6412	7933
894	6420	7926
895	6427	7919
896	6434	7912
897	6441	7904
898	6448	7897
899	6455	7890
900	6462	7882
901	6469	7874
902	6476	7867
903	6483	7860
904	6490	7853
905	6497	7845
906	6503	7837
907	6510	7830
908	6517	7822
909	6524	7815
910	6531	7807
911	6538	7800
912	6545	7792
913	6552	7785
914	6559	7778
915	6565	7770
916	6572	7762
917	6579	7754
918	6586	7747
919	6593	7739
920	6599	7732
921	6606	7724
922	6613	7717
923	6621	7710
924	6627	7702
925	6634	7694
926	6640	7686
927	6647	7679
928	6654	7671
929	6660	7663
930	6667	7655
931	6674	7648
932	6680	7640
933	6687	7632
934	6694	7625
935	6700	7617
936	6707	7609
937	6714	7602
938	6721	7594
939	6727	7586
940	6734	7578
941	6740	7570
942	6747	7562
943	6754	7555
944	6760	7547
945	6767	7540
946	6773	7532
947	6780	7524
948	6787	7516
949	6794	7509
950	6801	7502
951	6808	7495
952	6815	7487
953	6821	7479
954	6829	7473
955	6837	7467
956	6844	7459
957	6851	7452
958	6857	7444
959	6864	7436
960	6871	7429
961	6877	7421
962	6884	7413
963	6891	7405
964	6897	7398
965	6904	7390
966	6911	7382
967	6917	7375
968	6924	7367
969	6931	7359
970	6937	7351
971	6944	7344
972	6951	7336
973	6957	7329
974	6964	7321
975	6971	7313
976	6978	7306
977	6985	7299
978	6992	7292
979	6999	7284
980	7005	7277
981	7012	7269
982	7019	7262
983	7026	7254
984	7033	7247
985	7039	7239
986	7046	7232
987	7053	7224
988	7060	7217
989	7066	7209
990	7073	7201
991	7080	7194
992	7087	7187
993	7094	7180
994	7114	7186
995	7128	7186
996	7136	7179
997	7145	7173
998	7152	7167
999	7159	7159
1000	7166	7151
1001	7173	7144
1002	7181	7138
1003	7188	7131
1004	7195	7123
1005	7202	7116
1006	7208	7108
1007	7215	7100
1008	7221	7093
1009	7228	7085
1010	7235	7077
1011	7241	7070
1012	7248	7062
1013	7255	7055
1014	7261	7047
1015	7268	7039
1016	7275	7031
1017	7281	7024
1018	7288	7016
1019	7294	7008
1020	7301	7001
1021	7308	6993
1022	7314	6986
1023	7321	6978
1024	7328	6971
1025	7335	6964
1026	7342	6956
1027	7349	6949
1028	7355	6941
1029	7362	6933
1030	7369	6925
1031	7375	6918
1032	7382	6910
1033	7388	6902
1034	7395	6895
1035	7401	6887
1036	7408	6879
1037	7414	6871
1038	7421	6864
1039	7427	6856
1040	7433	6848
1041	7440	6840
1042	7446	6832
1043	7452	6824
1044	7459	6816
1045	7465	6808
1046	7471	6801
1047	7478	6793
1048	7484	6785
1049	7491	6778
1050	7498	6770
1051	7504	6762
1052	7511	6754
1053	7517	6746
1054	7523	6739
1055	7530	6731
1056	7536	6723
1057	7542	6715
