iter	Passed	Remaining
414	3292	4641
415	3299	4631
416	3305	4620
417	3311	4611
418	3317	4599
419	3322	4587
420	3328	4577
421	3334	4567
422	3347	4566
423	3362	4568
424	3368	4557
425	3374	4546
426	3379	4535
427	3393	4535
428	3408	4537
429	3414	4526
430	3424	4520
431	3430	4510
432	3436	4500
433	3443	4490
434	3455	4487
435	3460	4476
436	3466	4466
437	3472	4455
438	3485	4453
439	3517	4476
440	3533	4478
441	3538	4466
442	3549	4463
443	3556	4453
444	3562	4443
445	3568	4433
446	3579	4428
447	3595	4430
448	3610	4431
449	3627	4433
450	3642	4433
451	3660	4437
452	3667	4428
453	3674	4418
454	3680	4407
455	3689	4400
456	3694	4390
457	3706	4386
458	3721	4385
459	3727	4375
460	3734	4366
461	3740	4356
462	3746	4345
463	3753	4335
464	3766	4333
465	3782	4334
466	3796	4332
467	3813	4334
468	3819	4324
469	3828	4317
470	3845	4318
471	3852	4309
472	3859	4299
473	3864	4288
474	3870	4278
475	3876	4267
476	3887	4262
477	3892	4251
478	3903	4245
479	3909	4234
480	3918	4228
481	3924	4217
482	3929	4206
483	3935	4195
484	3949	4193
485	3964	4193
486	3969	4181
487	3974	4169
488	3979	4158
489	3984	4147
490	3989	4135
491	3995	4125
492	4001	4114
493	4006	4103
494	4011	4092
495	4017	4082
496	4026	4074
497	4030	4063
498	4035	4052
499	4041	4041
500	4046	4030
501	4051	4019
502	4072	4024
503	4088	4023
504	4093	4012
505	4098	4001
506	4103	3990
507	4108	3978
508	4113	3967
509	4119	3957
510	4124	3946
511	4129	3935
512	4134	3925
513	4150	3924
514	4155	3913
515	4160	3902
516	4165	3891
517	4180	3890
518	4185	3879
519	4190	3868
520	4195	3857
521	4200	3846
522	4205	3835
523	4210	3825
524	4215	3814
525	4227	3809
526	4231	3798
527	4236	3787
528	4241	3776
529	4246	3765
530	4251	3754
531	4256	3744
532	4261	3733
533	4265	3722
534	4271	3712
535	4275	3701
536	4280	3690
537	4286	3680
538	4290	3669
539	4295	3659
540	4302	3650
541	4308	3640
542	4312	3629
543	4318	3619
544	4323	3609
545	4328	3598
546	4333	3588
547	4338	3578
548	4343	3568
549	4378	3582
550	4383	3572
551	4393	3565
552	4398	3555
553	4403	3545
554	4408	3535
555	4414	3524
556	4419	3514
557	4424	3504
558	4429	3494
559	4434	3483
560	4439	3474
561	4444	3463
562	4449	3453
563	4454	3443
564	4459	3433
565	4464	3423
566	4482	3423
567	4488	3413
568	4494	3404
569	4513	3405
570	4528	3402
571	4533	3392
572	4539	3382
573	4543	3372
574	4548	3362
575	4554	3352
576	4574	3353
577	4589	3350
578	4594	3340
579	4599	3330
580	4620	3331
581	4625	3322
582	4632	3313
583	4650	3313
584	4655	3302
585	4661	3293
586	4667	3283
587	4672	3274
588	4682	3267
589	4696	3263
590	4701	3253
591	4711	3246
592	4715	3236
593	4721	3227
594	4726	3217
595	4731	3207
596	4736	3197
597	4757	3198
598	4762	3188
599	4767	3178
600	4772	3168
601	4787	3164
602	4803	3162
603	4807	3152
604	4812	3142
605	4818	3132
606	4823	3122
607	4833	3116
608	4838	3106
609	4843	3096
610	4848	3086
611	4865	3084
612	4871	3075
613	4876	3065
614	4895	3064
615	4900	3054
616	4905	3044
617	4910	3035
618	4915	3025
619	4920	3015
620	4925	3006
621	4931	2996
622	4936	2987
623	4941	2977
624	4946	2968
625	4951	2958
626	4957	2948
627	4961	2939
628	4972	2932
629	4977	2923
630	4983	2914
631	4989	2905
632	4994	2895
633	5000	2886
634	5005	2877
635	5011	2868
636	5017	2859
637	5022	2849
638	5027	2840
639	5032	2831
640	5037	2821
641	5043	2812
642	5048	2802
643	5053	2793
644	5064	2787
645	5068	2777
646	5073	2768
647	5079	2759
648	5084	2749
649	5095	2743
650	5110	2739
651	5115	2730
652	5126	2724
653	5132	2715
654	5141	2707
655	5156	2704
656	5161	2694
657	5166	2685
658	5171	2675
659	5176	2666
660	5181	2657
661	5188	2648
662	5193	2639
663	5199	2631
664	5216	2627
665	5221	2618
666	5226	2609
667	5231	2600
668	5237	2591
669	5243	2582
670	5261	2579
671	5276	2575
